y-axis,value1,value2,value3,value4
0,20810,35,17731,16
0,20806,37,17782,15
0,20840,36,17766,16
0,20895,37,17716,15
0,20918,35,17670,17
0,20975,36,17647,16
0,21044,37,17601,16
0,21081,35,17547,15
0,21077,36,17525,16
0,21060,35,17544,16
10,21549,35,17054,14
10,20639,35,17953,16
10,20856,35,17736,14
10,20249,36,18324,15
10,20507,34,18087,15
10,20557,35,18042,16
10,21029,36,17497,15
10,21083,36,17443,16
10,21387,34,17195,14
10,21012,36,17654,16
20,21743,33,17001,15
20,20770,33,17840,16
20,20242,36,18358,15
20,19912,36,18664,15
20,19946,36,18659,16
20,19921,35,18521,15
20,20559,35,17860,17
20,21015,34,17469,15
20,21331,34,17215,15
20,21084,34,17435,16
30,21358,34,17009,15
30,20011,34,18392,16
30,19705,35,18849,15
30,19682,34,18915,16
30,19329,34,19337,16
30,19567,35,19080,16
30,20483,34,18211,15
30,20738,34,17961,16
30,21113,35,17547,17
30,21146,36,17464,17
40,21388,33,17297,16
40,20371,34,18350,18
40,20078,35,18673,17
40,19791,35,18945,18
40,19446,35,19318,17
40,19914,35,18783,17
40,20736,34,18020,17
40,20963,34,17801,19
40,21607,33,17185,18
40,21628,35,17125,18
50,21419,33,17157,17
50,20300,34,18244,17
50,20046,33,18515,17
50,19765,35,18837,18
50,19681,35,18932,17
50,20129,35,18527,18
50,20714,32,17960,17
50,21079,33,17653,16
50,21655,33,17076,18
50,21339,32,17394,17
60,21595,32,17280,18
60,20701,31,18105,16
60,20272,33,18477,17
60,19950,34,18885,16
60,19829,34,19009,19
60,20056,32,18799,16
60,20769,34,18110,15
60,21115,31,17749,17
60,21468,32,17398,17
60,21322,32,17553,17
70,21741,31,17088,17
70,20627,30,18173,17
70,20109,32,18708,16
70,19858,32,18980,16
70,19704,33,19116,16
70,20038,31,18756,16
70,20677,33,18068,15
70,21109,31,17622,15
70,21514,31,17230,16
70,21494,30,17243,17
80,21699,28,16854,18
80,20660,29,17900,16
80,20114,31,18442,18
80,19905,30,18636,17
80,19553,30,18842,17
80,19880,30,18535,18
80,20709,28,17740,17
80,21159,30,17278,17
80,21569,28,16938,17
80,21694,31,16835,17
90,21722,28,17030,18
90,20507,30,18188,20
90,20261,32,18447,18
90,20020,28,18792,17
90,19806,30,19006,18
90,20335,29,18494,18
90,20997,29,17775,19
90,21264,29,17471,20
90,21839,30,16857,20
90,21658,29,16876,19
100,21275,30,17047,22
100,20517,29,17906,22
100,20069,31,18334,20
100,19876,30,18534,21
100,19726,28,18709,20
100,20148,29,18268,20
100,20540,29,17791,22
100,21308,29,17123,21
100,21396,27,17056,21
100,21513,30,17047,21
110,21191,29,17292,23
110,20001,28,18316,23
110,19867,30,18574,22
110,19520,29,18910,22
