y-axis,value1,value2,value3,value4
0,18975,11,15411,14
0,19126,9,15554,14
0,18466,9,14930,13
0,19348,10,15472,13
0,19191,10,15069,14
0,19199,10,14849,15
0,19242,12,14803,15
0,18974,9,14642,15
0,18924,10,14741,16
0,18573,10,14698,16
10,20194,10,14473,16
10,18865,10,15836,14
10,18510,11,14697,13
10,17597,10,16369,14
10,18737,11,16142,16
10,19378,12,15438,15
10,18724,11,14993,14
10,19428,9,14147,14
10,19898,10,14492,14
10,19252,12,14663,14
20,21276,12,13347,14
20,18239,11,14913,15
20,17876,11,15538,14
20,17141,11,17297,16
20,17432,10,16354,15
20,17983,12,15771,15
20,18635,12,14896,15
20,20810,12,14041,16
20,20339,11,14119,15
20,20624,11,14181,16
30,21074,13,13425,16
30,18303,12,15517,16
30,17839,12,16123,17
30,16407,11,17046,15
30,16778,10,16777,16
30,17504,10,15896,16
30,19012,13,15318,16
30,20172,11,13825,15
30,20575,11,14096,14
30,20698,11,13524,15
40,21251,11,13388,16
40,18262,12,15609,16
40,18448,11,15944,15
40,16897,12,17428,15
40,16926,12,16867,15
40,18615,12,15931,14
40,19534,12,15022,18
40,20826,12,13746,16
40,21403,12,13348,16
40,21281,10,12907,15
50,20912,12,13271,16
50,18999,11,15193,18
50,18463,12,15149,16
50,17173,12,16445,15
50,17876,12,16126,16
50,18621,11,14923,16
50,19105,10,14359,16
50,20712,12,13129,17
50,20753,11,12972,17
50,20877,11,13113,17
60,21099,12,12641,17
60,19199,11,14553,16
60,19029,10,14810,16
60,17725,12,16429,17
60,17717,13,15688,17
60,18866,12,15110,16
60,19478,12,14728,16
60,20379,11,13236,15
60,20621,12,13213,16
60,20411,13,13093,15
70,20599,14,12546,18
70,18738,13,14586,18
70,18243,14,15264,17
70,16923,12,16467,18
70,16749,11,15740,16
70,17819,12,15234,17
70,18258,13,14366,15
70,19751,13,13291,16
70,20396,11,13477,18
70,20669,14,13410,18
80,20482,13,12531,18
80,17906,13,14663,18
80,17703,12,15040,17
80,16120,13,16111,17
80,16452,13,16273,19
80,17878,14,15712,17
80,18162,12,14459,17
80,19355,12,13359,18
80,19861,14,13061,18
80,19771,13,12789,18
90,19635,14,13070,19
90,17731,15,15203,19
90,16959,14,15346,18
90,16064,13,16995,19
90,16075,14,16531,20
90,16969,13,15174,17
90,17706,13,14538,18
90,19064,14,13452,19
90,19892,12,13333,18
90,20365,15,13379,20
100,19416,15,13642,21
100,17305,14,15504,21
100,16978,14,15823,19
100,16127,14,17444,20
100,16696,14,16670,20
100,17121,14,15285,19
100,18218,14,14873,22
100,19831,14,13538,21
100,19171,14,13258,21
100,19445,15,13196,20
110,18867,15,13833,21
110,17269,15,15857,23
110,16864,15,16133,22
110,15778,15,17573,22
110,16491,15,17064,22
110,17346,16,15918,21
110,18196,16,15293,23
110,19441,15,13835,23
110,19420,15,14084,22
110,19318,16,13330,21
120,19502,15,14188,23
120,17090,15,16180,22
120,16718,16,16299,23
120,15531,14,17860,22
120,16357,14,16982,23
120,17111,15,15957,23
120,18162,15,15406,24
120,19515,15,13734,23
120,19053,17,14030,22
120,19674,18,13819,23
130,19146,16,14269,25
130,17100,16,16268,24
130,16687,15,16594,23
130,15462,15,17907,23
130,16278,15,17319,25
130,17245,16,16288,24
130,17929,16,15491,23
130,19583,16,14010,26
130,19009,15,14241,25
130,19547,15,13750,24
140,19422,15,14182,26
140,17183,17,16159,25
140,16910,17,16574,24
140,15446,16,17805,25
140,16430,18,17224,25
140,17229,15,16108,25
140,18175,18,15545,25
140,19434,17,13840,27
140,19434,17,14404,25
140,19608,16,13787,24
150,19252,19,14240,25
150,17149,18,16424,27
150,16912,16,16947,25
150,15561,18,18146,26
150,16271,17,17066,26
150,17468,16,16081,26
150,18424,18,15586,27
150,19943,19,14039,27
150,19502,18,14314,26
150,19955,19,13972,29
160,19477,17,13875,27
160,17601,18,16247,27
160,17125,18,16108,26
160,15984,18,17832,28
160,16517,20,16677,26
160,17552,18,15875,28
160,18308,19,15123,27
160,20037,20,13761,28
160,19437,19,13936,28
160,19973,19,13590,28
170,19432,20,13747,29
170,17740,21,16146,31
170,17314,21,16708,28
170,16102,20,17995,29
170,16441,20,17003,28
170,17803,20,16218,30
170,18534,22,15527,30
170,19397,21,13643,30
170,19230,22,14045,31
170,19983,21,13808,30
180,19610,21,14449,31
180,16906,21,16127,31
180,16770,21,16563,31
180,15424,21,18044,30
180,16314,23,17509,32
180,17198,21,16413,30
180,17976,22,15884,31
180,19004,22,13958,31
180,19334,22,14757,31
180,19671,22,14279,32
190,19056,24,14993,33
190,16299,23,16747,32
190,16492,22,17744,32
190,15278,21,19119,33
190,15942,23,18205,34
190,16612,22,16669,31
190,17769,23,16429,34
190,18881,26,14566,32
190,18704,22,15008,33
190,19116,22,14646,32
200,18913,24,15323,35
200,16315,23,17042,34
200,16120,24,17241,33
200,14884,22,18533,35
200,15535,23,17764,33
200,16438,23,16667,33
200,17423,25,16265,35
200,18985,25,14743,36
200,18653,25,15115,34
200,18619,24,14371,33
210,18781,26,15354,38
210,16341,26,16991,36
210,16206,25,17679,35
210,14946,26,18871,36
210,15631,27,18008,37
210,16988,26,17233,36
210,17462,25,16420,38
210,19043,27,15002,38
210,18713,27,15408,37
210,19098,27,14925,37
220,18509,26,15082,37
220,16720,27,17608,37
220,16180,26,17597,37
220,14956,27,19076,37
220,15722,26,18329,37
220,16849,29,17525,39
220,17499,29,16842,39
220,18792,28,14894,39
220,18526,28,15371,39
220,18880,28,14870,38
230,18688,30,15161,39
230,16765,29,17477,40
230,16257,28,17772,38
230,15169,27,19416,39
230,15841,27,18659,38
230,16692,27,17445,38
230,17315,29,16562,39
230,18950,29,15239,40
230,18746,31,15668,40
230,18878,29,15024,38
240,18943,30,15544,41
240,16726,29,17792,40
240,16235,28,17798,39
240,15079,28,19386,41
240,15857,29,18369,39
240,16934,28,17638,41
240,17678,28,16875,40
240,19211,30,15148,41
240,18964,29,15643,40
240,19353,31,15133,41
250,18966,30,15418,43
250,17084,31,17716,41
250,16681,31,18149,41
250,15539,32,19501,41
250,16069,30,18473,39
250,17144,31,17495,41
250,17710,31,16640,41
250,19358,32,15297,42
250,18910,30,15695,42
250,19216,31,15156,41
260,19127,33,15547,42
260,16960,32,17865,43
260,16656,32,18178,43
260,15392,31,19708,43
260,15907,32,18487,43
260,17016,33,17855,43
260,17760,33,17037,43
260,19103,33,15147,44
260,18798,35,15580,43
260,19257,33,15014,44
270,19186,35,15371,45
270,16627,36,17290,46
270,16596,35,18073,44
270,15212,36,19331,46
270,15753,37,18424,45
270,16876,35,17547,44
270,17551,38,16744,47
270,19239,38,15476,47
270,18664,38,15563,47
270,18927,38,15034,46
280,18735,41,15348,49
280,16572,39,17664,48
280,16291,39,17786,48
280,14960,37,19306,48
280,15835,41,18620,52
280,16801,41,17774,49
280,17257,43,16732,48
280,18972,44,15334,52
280,18632,42,15767,49
280,18708,42,15098,50
290,18352,46,16026,53
290,15811,46,17656,52
290,15821,44,18379,52
290,14386,43,19390,51
290,14908,45,18335,52
290,16305,44,17664,51
290,16865,47,16789,54
290,18598,49,15489,55
290,17764,45,15410,52
290,18315,47,15152,52
300,17764,49,15235,53
300,16014,50,17621,56
300,15711,48,17905,57
300,14613,48,19296,54
300,15228,50,18214,57
300,16370,51,17603,56
300,17077,51,16779,57
300,18352,51,14900,54
300,17925,50,15334,57
300,18560,50,15053,56
310,18191,52,15024,55
310,16247,52,17260,59
310,16020,53,17554,57
310,14767,53,19005,58
310,15260,53,17763,57
310,16502,52,17010,57
310,17322,54,16482,56
310,18577,54,14814,57
310,18492,54,15394,55
310,18811,54,14859,55
320,18486,54,15216,56
320,16142,53,17267,57
320,15974,54,17489,59
320,14681,53,19016,57
320,14968,52,17662,57
320,16235,54,17195,58
320,16886,57,16484,57
320,18185,54,14770,54
320,18033,55,15305,55
320,18350,53,14853,53
330,17982,54,15224,57
330,15794,54,17107,56
330,15689,55,17839,58
330,14549,56,19175,59
330,15208,54,18350,57
330,15784,53,16969,56
330,16605,54,16335,55
330,18067,54,14826,55
330,18022,55,15419,57
330,18444,56,14967,55
340,18125,55,14920,55
340,15818,53,16978,55
340,15628,54,17103,56
340,14341,54,18552,58
340,15362,56,18077,57
340,16068,54,16723,55
340,16661,55,16198,54
340,18081,55,14518,55
340,18019,56,15170,55
340,18370,56,14858,56
350,17960,57,15011,57
350,15849,56,17193,58
350,15510,55,17376,56
350,14339,55,18858,57
350,14925,55,17861,57
350,16116,56,17048,58
350,16753,56,16303,58
350,18335,58,14894,58
350,17923,57,15223,58
350,18676,60,15100,59
360,18404,60,15393,60
360,16227,56,17443,59
360,15995,56,17759,59
360,14681,56,19173,59
360,15323,57,18101,59
360,16373,58,17280,59
360,17180,60,16569,60
360,18378,59,14728,60
360,18457,61,15327,61
360,18985,62,14858,62
370,18536,65,15106,64
370,16437,63,17240,63
370,15794,60,17367,62
370,14670,58,18833,61
370,15312,60,18005,64
370,16338,61,17018,63
370,17313,64,16481,65
370,18512,64,14684,66
370,18455,64,15207,64
370,18820,65,14704,66
380,18570,67,15146,71
380,16354,65,17167,69
380,16092,64,17346,67
380,14959,64,18960,66
380,15635,65,17916,69
380,16538,66,16924,68
380,17238,69,16181,71
380,18887,72,14722,75
380,18541,69,15211,72
380,18755,69,14565,73
390,18714,75,15297,81
390,16233,72,17227,79
390,16142,72,17755,78
390,14874,68,19008,76
390,15647,71,18152,81
390,16390,71,16841,77
390,17311,74,16274,83
390,18972,81,14954,86
390,18354,76,15066,82
390,18796,77,14705,83
400,18749,81,15232,96
400,16360,78,17118,92
400,16072,75,17347,89
400,14857,75,18788,85
400,15567,78,17620,94
400,16306,77,16852,90
400,17075,80,16046,97
400,18769,85,14794,103
400,18280,82,15133,99
400,18713,83,14758,102
410,18160,88,15065,115
410,16284,85,17139,114
410,15708,83,17377,108
410,14633,80,18885,104
410,15486,87,17805,117
410,16496,84,17058,109
410,17323,90,16159,123
