true_pos[mm],voltage_ratio[-](de=f0 mm),voltage_ratio[-](de=f2 mm),voltage_ratio[-](de=f4 mm),voltage_ratio[-](de=f6 mm),voltage_ratio[-](de=f8 mm),voltage_ratio[-](de=f10 mm)
-0.3,-0.98223,-0.98208,-0.98162,-0.9808,-0.97953,-0.97765
-0.295,-0.98171,-0.98155,-0.98107,-0.9802,-0.97886,-0.97686
-0.29,-0.9811,-0.98093,-0.98042,-0.9795,-0.97807,-0.97594
-0.285,-0.98043,-0.98025,-0.97971,-0.97873,-0.97719,-0.9749
-0.28,-0.97975,-0.97956,-0.97897,-0.97792,-0.97627,-0.9738
-0.275,-0.97908,-0.97888,-0.97825,-0.97713,-0.97536,-0.97269
-0.27,-0.97847,-0.97826,-0.9776,-0.9764,-0.9745,-0.97163
-0.265,-0.97794,-0.97771,-0.97701,-0.97574,-0.97371,-0.97063
-0.26,-0.97745,-0.97721,-0.97647,-0.97513,-0.97298,-0.96968
-0.255,-0.97699,-0.97674,-0.97596,-0.97454,-0.97225,-0.96873
-0.25,-0.97651,-0.97624,-0.97542,-0.97391,-0.97148,-0.96771
-0.245,-0.97595,-0.97567,-0.9748,-0.97319,-0.97059,-0.96655
-0.24,-0.97531,-0.97502,-0.97408,-0.97236,-0.96956,-0.96519
-0.235,-0.9746,-0.97428,-0.97327,-0.97142,-0.96839,-0.96364
-0.23,-0.97385,-0.9735,-0.97242,-0.97041,-0.96711,-0.96192
-0.225,-0.97309,-0.97272,-0.97155,-0.96937,-0.96578,-0.96009
-0.22,-0.97237,-0.97197,-0.97071,-0.96835,-0.96444,-0.9582
-0.215,-0.97167,-0.97125,-0.9699,-0.96736,-0.96311,-0.95629
-0.21,-0.97101,-0.97056,-0.96911,-0.96638,-0.96178,-0.95434
-0.205,-0.9703,-0.96982,-0.96827,-0.96533,-0.96036,-0.95227
-0.2,-0.96951,-0.96899,-0.96733,-0.96416,-0.95876,-0.94996
-0.195,-0.96858,-0.96802,-0.96622,-0.96278,-0.95691,-0.9473
-0.19,-0.9675,-0.96689,-0.96493,-0.96117,-0.95472,-0.94419
-0.185,-0.9663,-0.96564,-0.96349,-0.95934,-0.95222,-0.94059
-0.18,-0.96506,-0.96433,-0.96196,-0.95736,-0.94944,-0.93653
-0.175,-0.96384,-0.96303,-0.96042,-0.95532,-0.94648,-0.93208
-0.17,-0.96271,-0.96183,-0.95895,-0.95329,-0.94344,-0.92737
-0.165,-0.96167,-0.96071,-0.95756,-0.95131,-0.94034,-0.92244
-0.16,-0.96067,-0.95962,-0.95618,-0.9493,-0.93715,-0.91728
-0.155,-0.95959,-0.95846,-0.9547,-0.94713,-0.93372,-0.91176
