voltage_ratio[-],true_position(de=f0 mm),true_position(de=f2 mm),true_position(de=f4 mm),true_position(de=f6 mm),true_position(de=f8 mm),true_position(de=f10 mm)
-1,non,-0.030266667,-0.060533333,-0.0908,-0.121066667,-0.151333333
-0.999892663,non,-0.030206133,-0.060412267,-0.0906184,-0.120824533,-0.151030667
-0.999696497,non,-0.0301456,-0.0602912,-0.0904368,-0.1205824,-0.150728
-0.999442597,non,-0.030085067,-0.060170133,-0.0902552,-0.120340267,-0.150425333
-0.99914208,non,-0.030024533,-0.060049067,-0.0900736,-0.120098133,-0.150122667
-0.99880138,non,-0.029964,-0.059928,-0.089892,-0.119856,-0.14982
-0.998424848,non,-0.029903467,-0.059806933,-0.0897104,-0.119613867,-0.149517333
-0.99801568,non,-0.029842933,-0.059685867,-0.0895288,-0.119371733,-0.149214667
-0.997576356,non,-0.0297824,-0.0595648,-0.0893472,-0.1191296,-0.148912
-0.997108877,non,-0.029721867,-0.059443733,-0.0891656,-0.118887467,-0.148609333
-0.996614899,non,-0.029661333,-0.059322667,-0.088984,-0.118645333,-0.148306667
-0.996095823,non,-0.0296008,-0.0592016,-0.0888024,-0.1184032,-0.148004
-0.995552857,non,-0.029540267,-0.059080533,-0.0886208,-0.118161067,-0.147701333
-0.994987056,non,-0.029479733,-0.058959467,-0.0884392,-0.117918933,-0.147398667
-0.99439935,non,-0.0294192,-0.0588384,-0.0882576,-0.1176768,-0.147096
-0.99379057,non,-0.029358667,-0.058717333,-0.088076,-0.117434667,-0.146793333
-0.993161463,non,-0.029298133,-0.058596267,-0.0878944,-0.117192533,-0.146490667
-0.992512706,non,-0.0292376,-0.0584752,-0.0877128,-0.1169504,-0.146188
-0.991844916,non,-0.029177067,-0.058354133,-0.0875312,-0.116708267,-0.145885333
-0.991158658,non,-0.029116533,-0.058233067,-0.0873496,-0.116466133,-0.145582667
-0.990454454,non,-0.029056,-0.058112,-0.087168,-0.116224,-0.14528
-0.989732785,non,-0.028995467,-0.057990933,-0.0869864,-0.115981867,-0.144977333
-0.988994099,non,-0.028934933,-0.057869867,-0.0868048,-0.115739733,-0.144674667
-0.988238815,non,-0.0288744,-0.0577488,-0.0866232,-0.1154976,-0.144372
-0.987467323,non,-0.028813867,-0.057627733,-0.0864416,-0.115255467,-0.144069333
-0.986679989,non,-0.028753333,-0.057506667,-0.08626,-0.115013333,-0.143766667
-0.985877159,non,-0.0286928,-0.0573856,-0.0860784,-0.1147712,-0.143464
-0.985059157,non,-0.028632267,-0.057264533,-0.0858968,-0.114529067,-0.143161333
-0.984226291,non,-0.028571733,-0.057143467,-0.0857152,-0.114286933,-0.142858667
-0.983378853,non,-0.0285112,-0.0570224,-0.0855336,-0.1140448,-0.142556
-0.982517119,non,-0.028450667,-0.056901333,-0.085352,-0.113802667,-0.142253333
-0.981641351,non,-0.028390133,-0.056780267,-0.0851704,-0.113560533,-0.141950667
-0.980751801,non,-0.0283296,-0.0566592,-0.0849888,-0.1133184,-0.141648
-0.979848708,non,-0.028269067,-0.056538133,-0.0848072,-0.113076267,-0.141345333
-0.978932299,non,-0.028208533,-0.056417067,-0.0846256,-0.112834133,-0.141042667
-0.978002794,non,-0.028148,-0.056296,-0.084444,-0.112592,-0.14074
-0.977060403,non,-0.028087467,-0.056174933,-0.0842624,-0.112349867,-0.140437333
-0.976105325,non,-0.028026933,-0.056053867,-0.0840808,-0.112107733,-0.140134667
-0.975137754,non,-0.0279664,-0.0559328,-0.0838992,-0.1118656,-0.139832
-0.974157877,non,-0.027905867,-0.055811733,-0.0837176,-0.111623467,-0.139529333
-0.973165871,non,-0.027845333,-0.055690667,-0.083536,-0.111381333,-0.139226667
-0.972161909,non,-0.0277848,-0.0555696,-0.0833544,-0.1111392,-0.138924
-0.971146158,non,-0.027724267,-0.055448533,-0.0831728,-0.110897067,-0.138621333
-0.970118778,non,-0.027663733,-0.055327467,-0.0829912,-0.110654933,-0.138318667
-0.969079923,non,-0.0276032,-0.0552064,-0.0828096,-0.1104128,-0.138016
-0.968029745,non,-0.027542667,-0.055085333,-0.082628,-0.110170667,-0.137713333
-0.966968389,non,-0.027482133,-0.054964267,-0.0824464,-0.109928533,-0.137410667
-0.965895994,non,-0.0274216,-0.0548432,-0.0822648,-0.1096864,-0.137108
-0.964812698,non,-0.027361067,-0.054722133,-0.0820832,-0.109444267,-0.136805333
-0.963718633,non,-0.027300533,-0.054601067,-0.0819016,-0.109202133,-0.136502667
-0.962613927,non,-0.02724,-0.05448,-0.08172,-0.10896,-0.1362
-0.961498705,non,-0.027179467,-0.054358933,-0.0815384,-0.108717867,-0.135897333
-0.960373088,non,-0.027118933,-0.054237867,-0.0813568,-0.108475733,-0.135594667
-0.959237195,non,-0.0270584,-0.0541168,-0.0811752,-0.1082336,-0.135292
-0.958091139,non,-0.026997867,-0.053995733,-0.0809936,-0.107991467,-0.134989333
-0.956935034,non,-0.026937333,-0.053874667,-0.080812,-0.107749333,-0.134686667
-0.955768987,non,-0.0268768,-0.0537536,-0.0806304,-0.1075072,-0.134384
-0.954593105,non,-0.026816267,-0.053632533,-0.0804488,-0.107265067,-0.134081333
-0.953407492,non,-0.026755733,-0.053511467,-0.0802672,-0.107022933,-0.133778667
-0.952212247,non,-0.0266952,-0.0533904,-0.0800856,-0.1067808,-0.133476
-0.951007471,non,-0.026634667,-0.053269333,-0.079904,-0.106538667,-0.133173333
-0.949793258,non,-0.026574133,-0.053148267,-0.0797224,-0.106296533,-0.132870667
-0.948569703,non,-0.0265136,-0.0530272,-0.0795408,-0.1060544,-0.132568
-0.947336898,non,-0.026453067,-0.052906133,-0.0793592,-0.105812267,-0.132265333
-0.946094932,non,-0.026392533,-0.052785067,-0.0791776,-0.105570133,-0.131962667
-0.944843894,non,-0.026332,-0.052664,-0.078996,-0.105328,-0.13166
-0.943583869,non,-0.026271467,-0.052542933,-0.0788144,-0.105085867,-0.131357333
-0.942314941,non,-0.026210933,-0.052421867,-0.0786328,-0.104843733,-0.131054667
-0.941037193,non,-0.0261504,-0.0523008,-0.0784512,-0.1046016,-0.130752
-0.939750705,non,-0.026089867,-0.052179733,-0.0782696,-0.104359467,-0.130449333
-0.938455556,non,-0.026029333,-0.052058667,-0.078088,-0.104117333,-0.130146667
-0.937151824,non,-0.0259688,-0.0519376,-0.0779064,-0.1038752,-0.129844
-0.935839585,non,-0.025908267,-0.051816533,-0.0777248,-0.103633067,-0.129541333
-0.934518913,non,-0.025847733,-0.051695467,-0.0775432,-0.103390933,-0.129238667
-0.93318988,non,-0.0257872,-0.0515744,-0.0773616,-0.1031488,-0.128936
-0.93185256,non,-0.025726667,-0.051453333,-0.07718,-0.102906667,-0.128633333
-0.930507022,non,-0.025666133,-0.051332267,-0.0769984,-0.102664533,-0.128330667
-0.929153334,non,-0.0256056,-0.0512112,-0.0768168,-0.1024224,-0.128028
-0.927791566,non,-0.025545067,-0.051090133,-0.0766352,-0.102180267,-0.127725333
-0.926421783,non,-0.025484533,-0.050969067,-0.0764536,-0.101938133,-0.127422667
-0.925044051,non,-0.025424,-0.050848,-0.076272,-0.101696,-0.12712
-0.923658434,non,-0.025363467,-0.050726933,-0.0760904,-0.101453867,-0.126817333
-0.922264996,non,-0.025302933,-0.050605867,-0.0759088,-0.101211733,-0.126514667
-0.920863799,non,-0.0252424,-0.0504848,-0.0757272,-0.1009696,-0.126212
-0.919454903,non,-0.025181867,-0.050363733,-0.0755456,-0.100727467,-0.125909333
-0.918038369,non,-0.025121333,-0.050242667,-0.075364,-0.100485333,-0.125606667
-0.916614257,non,-0.0250608,-0.0501216,-0.0751824,-0.1002432,-0.125304
-0.915182624,non,-0.025000267,-0.050000533,-0.0750008,-0.100001067,-0.125001333
-0.913743528,non,-0.024939733,-0.049879467,-0.0748192,-0.099758933,-0.124698667
-0.912297025,non,-0.0248792,-0.0497584,-0.0746376,-0.0995168,-0.124396
-0.91084317,non,-0.024818667,-0.049637333,-0.074456,-0.099274667,-0.124093333
-0.909382019,non,-0.024758133,-0.049516267,-0.0742744,-0.099032533,-0.123790667
-0.907913626,non,-0.0246976,-0.0493952,-0.0740928,-0.0987904,-0.123488
-0.906438043,non,-0.024637067,-0.049274133,-0.0739112,-0.098548267,-0.123185333
-0.904955322,non,-0.024576533,-0.049153067,-0.0737296,-0.098306133,-0.122882667
-0.903465517,non,-0.024516,-0.049032,-0.073548,-0.098064,-0.12258
-0.901968676,non,-0.024455467,-0.048910933,-0.0733664,-0.097821867,-0.122277333
-0.900464852,non,-0.024394933,-0.048789867,-0.0731848,-0.097579733,-0.121974667
-0.898954092,non,-0.0243344,-0.0486688,-0.0730032,-0.0973376,-0.121672
-0.897436446,non,-0.024273867,-0.048547733,-0.0728216,-0.097095467,-0.121369333
-0.895911961,non,-0.024213333,-0.048426667,-0.07264,-0.096853333,-0.121066667
-0.894380686,non,-0.0241528,-0.0483056,-0.0724584,-0.0966112,-0.120764
-0.892842668,non,-0.024092267,-0.048184533,-0.0722768,-0.096369067,-0.120461333
-0.891297951,non,-0.024031733,-0.048063467,-0.0720952,-0.096126933,-0.120158667
-0.889746583,non,-0.0239712,-0.0479424,-0.0719136,-0.0958848,-0.119856
-0.888188608,non,-0.023910667,-0.047821333,-0.071732,-0.095642667,-0.119553333
-0.88662407,non,-0.023850133,-0.047700267,-0.0715504,-0.095400533,-0.119250667
-0.885053014,non,-0.0237896,-0.0475792,-0.0713688,-0.0951584,-0.118948
-0.883475483,non,-0.023729067,-0.047458133,-0.0711872,-0.094916267,-0.118645333
-0.881891519,non,-0.023668533,-0.047337067,-0.0710056,-0.094674133,-0.118342667
-0.880301166,non,-0.023608,-0.047216,-0.070824,-0.094432,-0.11804
-0.878704464,non,-0.023547467,-0.047094933,-0.0706424,-0.094189867,-0.117737333
-0.877101456,non,-0.023486933,-0.046973867,-0.0704608,-0.093947733,-0.117434667
-0.875492182,non,-0.0234264,-0.0468528,-0.0702792,-0.0937056,-0.117132
-0.873876682,non,-0.023365867,-0.046731733,-0.0700976,-0.093463467,-0.116829333
-0.872254996,non,-0.023305333,-0.046610667,-0.069916,-0.093221333,-0.116526667
-0.870627164,non,-0.0232448,-0.0464896,-0.0697344,-0.0929792,-0.116224
-0.868993225,non,-0.023184267,-0.046368533,-0.0695528,-0.092737067,-0.115921333
-0.867353217,non,-0.023123733,-0.046247467,-0.0693712,-0.092494933,-0.115618667
-0.865707178,non,-0.0230632,-0.0461264,-0.0691896,-0.0922528,-0.115316
-0.864055146,non,-0.023002667,-0.046005333,-0.069008,-0.092010667,-0.115013333
-0.862397159,non,-0.022942133,-0.045884267,-0.0688264,-0.091768533,-0.114710667
-0.860733253,non,-0.0228816,-0.0457632,-0.0686448,-0.0915264,-0.114408
-0.859063465,non,-0.022821067,-0.045642133,-0.0684632,-0.091284267,-0.114105333
