voltage_ratio[-],true_position(de=f0 mm),true_position(de=f2 mm),true_position(de=f4 mm),true_position(de=f6 mm),true_position(de=f8 mm),true_position(de=f10 mm)
-1,non,-0.04,-0.08,-0.12,-0.16,-0.2
-0.999892663,non,-0.03992,-0.07984,-0.11976,-0.15968,-0.1996
-0.999696497,non,-0.03984,-0.07968,-0.11952,-0.15936,-0.1992
-0.999442597,non,-0.03976,-0.07952,-0.11928,-0.15904,-0.1988
-0.99914208,non,-0.03968,-0.07936,-0.11904,-0.15872,-0.1984
-0.99880138,non,-0.0396,-0.0792,-0.1188,-0.1584,-0.198
-0.998424848,non,-0.03952,-0.07904,-0.11856,-0.15808,-0.1976
-0.99801568,non,-0.03944,-0.07888,-0.11832,-0.15776,-0.1972
-0.997576356,non,-0.03936,-0.07872,-0.11808,-0.15744,-0.1968
-0.997108877,non,-0.03928,-0.07856,-0.11784,-0.15712,-0.1964
-0.996614899,non,-0.0392,-0.0784,-0.1176,-0.1568,-0.196
-0.996095823,non,-0.03912,-0.07824,-0.11736,-0.15648,-0.1956
-0.995552857,non,-0.03904,-0.07808,-0.11712,-0.15616,-0.1952
-0.994987056,non,-0.03896,-0.07792,-0.11688,-0.15584,-0.1948
-0.99439935,non,-0.03888,-0.07776,-0.11664,-0.15552,-0.1944
-0.99379057,non,-0.0388,-0.0776,-0.1164,-0.1552,-0.194
-0.993161463,non,-0.03872,-0.07744,-0.11616,-0.15488,-0.1936
-0.992512706,non,-0.03864,-0.07728,-0.11592,-0.15456,-0.1932
-0.991844916,non,-0.03856,-0.07712,-0.11568,-0.15424,-0.1928
-0.991158658,non,-0.03848,-0.07696,-0.11544,-0.15392,-0.1924
-0.990454454,non,-0.0384,-0.0768,-0.1152,-0.1536,-0.192
-0.989732785,non,-0.03832,-0.07664,-0.11496,-0.15328,-0.1916
-0.988994099,non,-0.03824,-0.07648,-0.11472,-0.15296,-0.1912
-0.988238815,non,-0.03816,-0.07632,-0.11448,-0.15264,-0.1908
-0.987467323,non,-0.03808,-0.07616,-0.11424,-0.15232,-0.1904
-0.986679989,non,-0.038,-0.076,-0.114,-0.152,-0.19
-0.985877159,non,-0.03792,-0.07584,-0.11376,-0.15168,-0.1896
-0.985059157,non,-0.03784,-0.07568,-0.11352,-0.15136,-0.1892
-0.984226291,non,-0.03776,-0.07552,-0.11328,-0.15104,-0.1888
-0.983378853,non,-0.03768,-0.07536,-0.11304,-0.15072,-0.1884
-0.982517119,non,-0.0376,-0.0752,-0.1128,-0.1504,-0.188
-0.981641351,non,-0.03752,-0.07504,-0.11256,-0.15008,-0.1876
-0.980751801,non,-0.03744,-0.07488,-0.11232,-0.14976,-0.1872
-0.979848708,non,-0.03736,-0.07472,-0.11208,-0.14944,-0.1868
-0.978932299,non,-0.03728,-0.07456,-0.11184,-0.14912,-0.1864
-0.978002794,non,-0.0372,-0.0744,-0.1116,-0.1488,-0.186
-0.977060403,non,-0.03712,-0.07424,-0.11136,-0.14848,-0.1856
-0.976105325,non,-0.03704,-0.07408,-0.11112,-0.14816,-0.1852
-0.975137754,non,-0.03696,-0.07392,-0.11088,-0.14784,-0.1848
-0.974157877,non,-0.03688,-0.07376,-0.11064,-0.14752,-0.1844
-0.973165871,non,-0.0368,-0.0736,-0.1104,-0.1472,-0.184
-0.972161909,non,-0.03672,-0.07344,-0.11016,-0.14688,-0.1836
-0.971146158,non,-0.03664,-0.07328,-0.10992,-0.14656,-0.1832
-0.970118778,non,-0.03656,-0.07312,-0.10968,-0.14624,-0.1828
-0.969079923,non,-0.03648,-0.07296,-0.10944,-0.14592,-0.1824
-0.968029745,non,-0.0364,-0.0728,-0.1092,-0.1456,-0.182
-0.966968389,non,-0.03632,-0.07264,-0.10896,-0.14528,-0.1816
-0.965895994,non,-0.03624,-0.07248,-0.10872,-0.14496,-0.1812
-0.964812698,non,-0.03616,-0.07232,-0.10848,-0.14464,-0.1808
-0.963718633,non,-0.03608,-0.07216,-0.10824,-0.14432,-0.1804
-0.962613927,non,-0.036,-0.072,-0.108,-0.144,-0.18
-0.961498705,non,-0.03592,-0.07184,-0.10776,-0.14368,-0.1796
-0.960373088,non,-0.03584,-0.07168,-0.10752,-0.14336,-0.1792
-0.959237195,non,-0.03576,-0.07152,-0.10728,-0.14304,-0.1788
-0.958091139,non,-0.03568,-0.07136,-0.10704,-0.14272,-0.1784
-0.956935034,non,-0.0356,-0.0712,-0.1068,-0.1424,-0.178
-0.955768987,non,-0.03552,-0.07104,-0.10656,-0.14208,-0.1776
-0.954593105,non,-0.03544,-0.07088,-0.10632,-0.14176,-0.1772
-0.953407492,non,-0.03536,-0.07072,-0.10608,-0.14144,-0.1768
-0.952212247,non,-0.03528,-0.07056,-0.10584,-0.14112,-0.1764
-0.951007471,non,-0.0352,-0.0704,-0.1056,-0.1408,-0.176
-0.949793258,non,-0.03512,-0.07024,-0.10536,-0.14048,-0.1756
-0.948569703,non,-0.03504,-0.07008,-0.10512,-0.14016,-0.1752
-0.947336898,non,-0.03496,-0.06992,-0.10488,-0.13984,-0.1748
-0.946094932,non,-0.03488,-0.06976,-0.10464,-0.13952,-0.1744
-0.944843894,non,-0.0348,-0.0696,-0.1044,-0.1392,-0.174
-0.943583869,non,-0.03472,-0.06944,-0.10416,-0.13888,-0.1736
-0.942314941,non,-0.03464,-0.06928,-0.10392,-0.13856,-0.1732
-0.941037193,non,-0.03456,-0.06912,-0.10368,-0.13824,-0.1728
-0.939750705,non,-0.03448,-0.06896,-0.10344,-0.13792,-0.1724
-0.938455556,non,-0.0344,-0.0688,-0.1032,-0.1376,-0.172
-0.937151824,non,-0.03432,-0.06864,-0.10296,-0.13728,-0.1716
-0.935839585,non,-0.03424,-0.06848,-0.10272,-0.13696,-0.1712
-0.934518913,non,-0.03416,-0.06832,-0.10248,-0.13664,-0.1708
-0.93318988,non,-0.03408,-0.06816,-0.10224,-0.13632,-0.1704
-0.93185256,non,-0.034,-0.068,-0.102,-0.136,-0.17
-0.930507022,non,-0.03392,-0.06784,-0.10176,-0.13568,-0.1696
-0.929153334,non,-0.03384,-0.06768,-0.10152,-0.13536,-0.1692
-0.927791566,non,-0.03376,-0.06752,-0.10128,-0.13504,-0.1688
-0.926421783,non,-0.03368,-0.06736,-0.10104,-0.13472,-0.1684
-0.925044051,non,-0.0336,-0.0672,-0.1008,-0.1344,-0.168
-0.923658434,non,-0.03352,-0.06704,-0.10056,-0.13408,-0.1676
-0.922264996,non,-0.03344,-0.06688,-0.10032,-0.13376,-0.1672
-0.920863799,non,-0.03336,-0.06672,-0.10008,-0.13344,-0.1668
-0.919454903,non,-0.03328,-0.06656,-0.09984,-0.13312,-0.1664
-0.918038369,non,-0.0332,-0.0664,-0.0996,-0.1328,-0.166
-0.916614257,non,-0.03312,-0.06624,-0.09936,-0.13248,-0.1656
-0.915182624,non,-0.03304,-0.06608,-0.09912,-0.13216,-0.1652
-0.913743528,non,-0.03296,-0.06592,-0.09888,-0.13184,-0.1648
-0.912297025,non,-0.03288,-0.06576,-0.09864,-0.13152,-0.1644
-0.91084317,non,-0.0328,-0.0656,-0.0984,-0.1312,-0.164
-0.909382019,non,-0.03272,-0.06544,-0.09816,-0.13088,-0.1636
-0.907913626,non,-0.03264,-0.06528,-0.09792,-0.13056,-0.1632
-0.906438043,non,-0.03256,-0.06512,-0.09768,-0.13024,-0.1628
-0.904955322,non,-0.03248,-0.06496,-0.09744,-0.12992,-0.1624
-0.903465517,non,-0.0324,-0.0648,-0.0972,-0.1296,-0.162
-0.901968676,non,-0.03232,-0.06464,-0.09696,-0.12928,-0.1616
-0.900464852,non,-0.03224,-0.06448,-0.09672,-0.12896,-0.1612
-0.898954092,non,-0.03216,-0.06432,-0.09648,-0.12864,-0.1608
