true_pos[mm],voltage_ratio[-](de=f0 mm),voltage_ratio[-](de=f2 mm),voltage_ratio[-](de=f4 mm),voltage_ratio[-](de=f6 mm),voltage_ratio[-](de=f8 mm),voltage_ratio[-](de=f10 mm)
-0.3,-1,-1,-1,-1,-1,-0.99992
-0.2975,-1,-1,-1,-1,-1,-0.99991
-0.295,-1,-1,-1,-1,-1,-0.99988
-0.2925,-1,-1,-1,-1,-1,-0.99985
-0.29,-1,-1,-1,-1,-1,-0.99983
-0.2875,-1,-1,-1,-1,-1,-0.9998
-0.285,-1,-1,-1,-1,-1,-0.99977
-0.2825,-1,-1,-1,-1,-1,-0.99973
-0.28,-1,-1,-1,-1,-1,-0.99968
-0.2775,-1,-1,-1,-1,-1,-0.99964
-0.275,-1,-1,-1,-1,-1,-0.99958
-0.2725,-1,-1,-1,-1,-1,-0.99952
-0.27,-1,-1,-1,-1,-0.99999,-0.99945
-0.2675,-1,-1,-1,-1,-0.99999,-0.99937
-0.265,-1,-1,-1,-1,-0.99998,-0.99929
-0.2625,-1,-1,-1,-1,-0.99998,-0.9992
-0.26,-1,-1,-1,-1,-0.99997,-0.9991
-0.2575,-1,-1,-1,-1,-0.99997,-0.99898
-0.255,-1,-1,-1,-1,-0.99995,-0.99885
-0.2525,-1,-1,-1,-1,-0.99995,-0.99871
-0.25,-1,-1,-1,-1,-0.99993,-0.99855
-0.2475,-1,-1,-1,-1,-0.99992,-0.99838
-0.245,-1,-1,-1,-1,-0.99991,-0.99818
-0.2425,-1,-1,-1,-1,-0.99988,-0.99797
-0.24,-1,-1,-1,-1,-0.99986,-0.99774
-0.2375,-1,-1,-1,-1,-0.99984,-0.99747
-0.235,-1,-1,-1,-1,-0.9998,-0.99719
-0.2325,-1,-1,-1,-1,-0.99977,-0.99688
-0.23,-1,-1,-1,-1,-0.99973,-0.99653
-0.2275,-1,-1,-1,-1,-0.99969,-0.99616
-0.225,-1,-1,-1,-1,-0.99963,-0.99574
-0.2225,-1,-1,-1,-1,-0.99957,-0.99529
-0.22,-1,-1,-1,-1,-0.9995,-0.99479
-0.2175,-1,-1,-1,-1,-0.99942,-0.99425
-0.215,-1,-1,-1,-1,-0.99933,-0.99366
-0.2125,-1,-1,-1,-1,-0.99922,-0.99301
-0.21,-1,-1,-1,-0.99999,-0.9991,-0.99231
-0.2075,-1,-1,-1,-0.99999,-0.99897,-0.99154
-0.205,-1,-1,-1,-0.99999,-0.99882,-0.9907
-0.2025,-1,-1,-1,-0.99998,-0.99864,-0.9898
-0.2,-1,-1,-1,-0.99997,-0.99844,-0.98882
-0.1975,-1,-1,-1,-0.99996,-0.99821,-0.98775
-0.195,-1,-1,-1,-0.99995,-0.99796,-0.98659
-0.1925,-1,-1,-1,-0.99993,-0.99767,-0.98535
-0.19,-1,-1,-1,-0.99991,-0.99734,-0.984
-0.1875,-1,-1,-1,-0.99989,-0.99698,-0.98254
-0.185,-1,-1,-1,-0.99986,-0.99657,-0.98096
-0.1825,-1,-1,-1,-0.99982,-0.99611,-0.97927
-0.18,-1,-1,-1,-0.99978,-0.99559,-0.97744
-0.1775,-1,-1,-1,-0.99973,-0.99501,-0.97549
-0.175,-1,-1,-1,-0.99967,-0.99437,-0.97338
-0.1725,-1,-1,-1,-0.9996,-0.99365,-0.97111
-0.17,-1,-1,-1,-0.99951,-0.99285,-0.96869
-0.1675,-1,-1,-1,-0.99941,-0.99197,-0.96609
-0.165,-1,-1,-1,-0.99928,-0.99098,-0.96331
-0.1625,-1,-1,-1,-0.99914,-0.98989,-0.96034
-0.16,-1,-1,-1,-0.99897,-0.98868,-0.95717
-0.1575,-1,-1,-1,-0.99876,-0.98735,-0.95379
-0.155,-1,-1,-1,-0.99852,-0.98588,-0.95018
-0.1525,-1,-1,-1,-0.99824,-0.98426,-0.94635
-0.15,-1,-1,-1,-0.99791,-0.98248,-0.94226
-0.1475,-1,-1,-0.99999,-0.99751,-0.98052,-0.93793
-0.145,-1,-1,-0.99998,-0.99706,-0.97838,-0.93333
-0.1425,-1,-1,-0.99997,-0.99653,-0.97604,-0.92845
-0.14,-1,-1,-0.99995,-0.99592,-0.97347,-0.92328
-0.1375,-1,-1,-0.99993,-0.99521,-0.97068,-0.91782
-0.135,-1,-1,-0.9999,-0.9944,-0.96764,-0.91204
-0.1325,-1,-1,-0.99986,-0.99346,-0.96432,-0.90593
-0.13,-1,-1,-0.99981,-0.99237,-0.96073,-0.8995
-0.1275,-1,-1,-0.99975,-0.99114,-0.95683,-0.89272
-0.125,-1,-1,-0.99967,-0.98973,-0.95261,-0.88558
-0.1225,-1,-1,-0.99956,-0.98812,-0.94805,-0.87807
-0.12,-1,-1,-0.99943,-0.98629,-0.94312,-0.87019
-0.1175,-1,-1,-0.99925,-0.98422,-0.93782,-0.86191
-0.115,-1,-1,-0.99903,-0.98188,-0.93211,-0.85323
-0.1125,-1,-1,-0.99875,-0.97924,-0.92597,-0.84414
-0.11,-1,-1,-0.9984,-0.97627,-0.9194,-0.83463
-0.1075,-1,-1,-0.99796,-0.97294,-0.91235,-0.82469
-0.105,-1,-1,-0.99742,-0.96921,-0.90481,-0.81431
-0.1025,-1,-1,-0.99674,-0.96505,-0.89677,-0.80349
-0.1,-1,-1,-0.99591,-0.96042,-0.88819,-0.79221
-0.0975,-1,-1,-0.99489,-0.95528,-0.87906,-0.78047
-0.095,-1,-0.99999,-0.99365,-0.94959,-0.86936,-0.76826
-0.0925,-1,-0.99997,-0.99214,-0.9433,-0.85907,-0.75557
-0.09,-1,-0.99994,-0.99032,-0.93638,-0.84816,-0.7424
-0.0875,-1,-0.9999,-0.98814,-0.92877,-0.83662,-0.72875
-0.085,-1,-0.99984,-0.98553,-0.92042,-0.82443,-0.71462
-0.0825,-1,-0.99975,-0.98242,-0.91131,-0.81158,-0.69999
-0.08,-1,-0.99962,-0.97875,-0.90137,-0.79805,-0.68487
-0.0775,-1,-0.99942,-0.97443,-0.89056,-0.78382,-0.66926
-0.075,-1,-0.99913,-0.96936,-0.87883,-0.76888,-0.65316
-0.0725,-1,-0.99871,-0.96345,-0.86614,-0.75323,-0.63657
-0.07,-1,-0.99812,-0.95661,-0.85245,-0.73684,-0.61949
-0.0675,-0.99999,-0.99728,-0.94871,-0.83771,-0.71972,-0.60193
-0.065,-0.99996,-0.99613,-0.93964,-0.82189,-0.70186,-0.58388
-0.0625,-0.99992,-0.99456,-0.92928,-0.80495,-0.68326,-0.56536
-0.06,-0.99984,-0.99243,-0.9175,-0.78686,-0.6639,-0.54638
-0.0575,-0.99969,-0.98957,-0.90419,-0.76758,-0.64381,-0.52694
-0.055,-0.99945,-0.9858,-0.8892,-0.7471,-0.62297,-0.50704
-0.0525,-0.99902,-0.98088,-0.87243,-0.7254,-0.6014,-0.48671
-0.05,-0.99833,-0.97453,-0.85374,-0.70246,-0.5791,-0.46595
-0.0475,-0.9972,-0.96643,-0.83303,-0.67826,-0.55609,-0.44478
-0.045,-0.99542,-0.95622,-0.81019,-0.65282,-0.53237,-0.42319
-0.0425,-0.99268,-0.9435,-0.78512,-0.62614,-0.50796,-0.40123
-0.04,-0.98854,-0.92785,-0.75775,-0.59822,-0.48289,-0.37889
-0.0375,-0.98246,-0.90882,-0.72802,-0.56909,-0.45718,-0.3562
-0.035,-0.9737,-0.88593,-0.69588,-0.53876,-0.43084,-0.33317
-0.0325,-0.96141,-0.85876,-0.66131,-0.50729,-0.40391,-0.30982
-0.03,-0.94454,-0.82687,-0.62432,-0.47469,-0.37641,-0.28618
-0.0275,-0.92194,-0.78988,-0.58494,-0.44103,-0.34838,-0.26225
-0.025,-0.89234,-0.74749,-0.54321,-0.40635,-0.31984,-0.23807
-0.0225,-0.85449,-0.69946,-0.49923,-0.37072,-0.29084,-0.21365
-0.02,-0.8072,-0.64571,-0.45309,-0.3342,-0.26141,-0.18902
-0.0175,-0.7495,-0.58626,-0.40495,-0.29688,-0.23159,-0.16421
-0.015,-0.68071,-0.52127,-0.35496,-0.25883,-0.20143,-0.13923
-0.0125,-0.6006,-0.45107,-0.30331,-0.22012,-0.17096,-0.11411
-0.01,-0.50947,-0.37615,-0.25021,-0.18087,-0.14024,-0.088871
-0.0075,-0.40822,-0.29711,-0.1959,-0.14116,-0.1093,-0.063543
-0.005,-0.29831,-0.21472,-0.14063,-0.10109,-0.078188,-0.038152
-0.0025,-0.18177,-0.12985,-0.084659,-0.060756,-0.04696,-0.012725
0,-0.061066,-0.043455,-0.028269,-0.020271,-0.015663,0.012719
0.0025,0.061066,0.043455,0.028269,0.020271,0.015663,0.038145
0.005,0.18177,0.12985,0.084659,0.060756,0.04696,0.063538
0.0075,0.29831,0.21472,0.14063,0.10109,0.078189,0.088863
0.01,0.40822,0.29711,0.1959,0.14116,0.1093,0.1141
0.0125,0.50947,0.37614,0.25021,0.18087,0.14024,0.13922
0.015,0.6006,0.45108,0.30331,0.22013,0.17096,0.1642
0.0175,0.6807,0.52127,0.35496,0.25882,0.20143,0.18902
0.02,0.7495,0.58626,0.40495,0.29688,0.23159,0.21365
0.0225,0.8072,0.64571,0.4531,0.33421,0.26141,0.23806
0.025,0.85449,0.69946,0.49923,0.37072,0.29084,0.26224
0.0275,0.89234,0.74748,0.54321,0.40635,0.31984,0.28617
